,type,iLTs,miLT,ACR,net_delay,no_click,TCiL,subject
330,map,"[14441, 13161, 14977]",14193.0,2,1800,9,3,4
331,sat,"[12995, 13239, 16916]",14383.333333333334,2,1100,8,3,4
332,map,"[17215, 14961, 11743]",14639.666666666666,4,1800,8,3,23
333,map,"[14403, 14878]",14640.5,4,1500,6,2,24
334,map,[14776],14776.0,1,1500,3,1,7
335,map,[15024],15024.0,4,1500,12,1,25
336,map,[15088],15088.0,5,1800,4,1,24
337,map,"[20043, 16047, 9459, 15792]",15335.25,3,2000,16,4,28
338,sat,"[14184, 13231, 18574, 16265]",15563.5,4,1100,9,4,10
339,map,"[18039, 16220, 15953, 16056]",16567.0,2,1800,10,4,21
340,sat,[17483],17483.0,3,1100,15,1,28
341,sat,"[16949, 18070]",17509.5,1,1500,5,2,6
342,sat,[17783],17783.0,2,1500,12,1,28
343,map,[17790],17790.0,1,1800,13,1,25
344,map,[18035],18035.0,1,1800,10,1,9
345,sat,"[18043, 18036]",18039.5,1,1500,8,2,4
346,sat,"[18029, 18051]",18040.0,1,1500,9,2,9
347,sat,[18064],18064.0,4,1500,4,1,14
348,map,"[19783, 16511]",18147.0,2,2000,8,2,3
349,map,"[19266, 18026, 18608, 18188]",18522.0,4,2000,7,4,14
350,map,"[19770, 18034]",18902.0,1,2000,10,2,4
351,map,"[20072, 17907]",18989.5,2,2000,22,2,13
352,map,"[20077, 18087]",19082.0,1,2000,4,2,25
353,map,[20039],20039.0,1,2000,8,1,16
354,map,[20079],20079.0,3,2000,4,1,7
355,sat,"[18046, 18028, 25631]",20568.333333333332,2,1500,9,3,10
356,map,"[20092, 22083]",21087.5,3,2000,9,2,17
357,sat,"[23806, 24035]",23920.5,1,2000,9,2,4
